Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
7_Metformin_25	7_DMSO_control_0	0.342857142857143	-0.00334124624539952	25	7	7	0.533333333333334	Non-sig	auc_l	Metformin
4_Metformin_25	4_DMSO_control_0	0.0285714285714286	0.0434598101748166	25	4	4	0.4	Non-sig	auc_l	Metformin
14_Metformin_25	14_DMSO_control_0	1	0.00184245435802514	25	14	14	1	Non-sig	auc_l	Metformin
10_Metformin_25	10_DMSO_control_0	0.885714285714286	0.0013222895941614	25	10	10	1	Non-sig	auc_l	Metformin
20_Metformin_25	20_DMSO_control_0	0.342857142857143	0.00741735806118296	25	20	20	0.533333333333334	Non-sig	auc_l	Metformin
17_Metformin_25	17_DMSO_control_0	0.0571428571428571	-0.0443754347926289	25	17	17	0.4	Non-sig	auc_l	Metformin
10_Metformin_50	10_DMSO_control_0	0.2	0.0295225123262517	50	10	10	0.533333333333334	Non-sig	auc_l	Metformin
14_Metformin_50	14_DMSO_control_0	0.685714285714286	0.0217385964276244	50	14	14	0.872727272727273	Non-sig	auc_l	Metformin
7_Metformin_50	7_DMSO_control_0	0.342857142857143	-0.00319176274944437	50	7	7	0.533333333333334	Non-sig	auc_l	Metformin
4_Metformin_50	4_DMSO_control_0	1	-0.00442664692602954	50	4	4	1	Non-sig	auc_l	Metformin
20_Metformin_50	20_DMSO_control_0	0.2	0.0216089982044827	50	20	20	0.533333333333334	Non-sig	auc_l	Metformin
17_Metformin_50	17_DMSO_control_0	0.114285714285714	-0.0168464349118392	50	17	17	0.533333333333332	Non-sig	auc_l	Metformin
0_Metformin_50	0_DMSO_control_0	0.342857142857143	0.0401737962898139	50	0	0	0.533333333333334	Non-sig	auc_l	Metformin
0_Simvastatin_25	0_DMSO_control_0	0.485714285714286	-0.0297090412691842	25	0	0	0.566666666666667	Non-sig	auc_l	Simvastatin
17_Simvastatin_25	17_DMSO_control_0	0.885714285714286	-0.0114698458049301	25	17	17	0.885714285714286	Non-sig	auc_l	Simvastatin
7_Simvastatin_25	7_DMSO_control_0	0.0285714285714286	-0.0847343741512218	25	7	7	0.0363636363636364	Sig	auc_l	Simvastatin
10_Simvastatin_25	10_DMSO_control_0	0.0285714285714286	-0.0803913951134085	25	10	10	0.0363636363636364	Sig	auc_l	Simvastatin
14_Simvastatin_25	14_DMSO_control_0	0.0285714285714286	-0.0739736386857392	25	14	14	0.0363636363636364	Sig	auc_l	Simvastatin
20_Simvastatin_25	20_DMSO_control_0	0.685714285714286	0.0085026428382165	25	20	20	0.738461538461539	Non-sig	auc_l	Simvastatin
4_Simvastatin_25	4_DMSO_control_0	0.0285714285714286	-0.0840290893865958	25	4	4	0.0363636363636364	Sig	auc_l	Simvastatin
4_Simvastatin_50	4_DMSO_control_0	0.0285714285714286	-0.356584853819138	50	4	4	0.0363636363636364	Sig	auc_l	Simvastatin
0_Simvastatin_50	0_DMSO_control_0	0.0285714285714286	-0.330823201191747	50	0	0	0.0363636363636364	Sig	auc_l	Simvastatin
17_Simvastatin_50	17_DMSO_control_0	0.0285714285714286	-0.188603741874415	50	17	17	0.0363636363636364	Sig	auc_l	Simvastatin
10_Simvastatin_50	10_DMSO_control_0	0.0285714285714286	-0.283412028878693	50	10	10	0.0363636363636364	Sig	auc_l	Simvastatin
7_Simvastatin_50	7_DMSO_control_0	0.0285714285714286	-0.273202389733346	50	7	7	0.0363636363636364	Sig	auc_l	Simvastatin
20_Simvastatin_50	20_DMSO_control_0	0.0285714285714286	-0.161982534910166	50	20	20	0.0363636363636364	Sig	auc_l	Simvastatin
14_Simvastatin_50	14_DMSO_control_0	0.0285714285714286	-0.261611597758248	50	14	14	0.0363636363636364	Sig	auc_l	Simvastatin
20_Acesulfame_K_25	20_DMSO_control_0	0.0571428571428571	-0.0824813442828892	25	20	20	0.114285714285714	Non-sig	auc_l	Acesulfame_K
17_Acesulfame_K_25	17_DMSO_control_0	0.2	0.0213636317771985	25	17	17	0.254545454545455	Non-sig	auc_l	Acesulfame_K
14_Acesulfame_K_25	14_DMSO_control_0	0.0285714285714286	0.0683344639511245	25	14	14	0.1	Non-sig	auc_l	Acesulfame_K
4_Acesulfame_K_25	4_DMSO_control_0	0.114285714285714	-0.0410321747570235	25	4	4	0.2	Non-sig	auc_l	Acesulfame_K
10_Acesulfame_K_25	10_DMSO_control_0	0.0571428571428571	-0.0243949497685395	25	10	10	0.114285714285714	Non-sig	auc_l	Acesulfame_K
0_Acesulfame_K_25	0_DMSO_control_0	0.2	-0.103198020742899	25	0	0	0.254545454545455	Non-sig	auc_l	Acesulfame_K
7_Acesulfame_K_25	7_DMSO_control_0	0.0285714285714286	0.0933056240695119	25	7	7	0.1	Non-sig	auc_l	Acesulfame_K
7_Acesulfame_K_50	7_DMSO_control_0	0.0285714285714286	0.140666963839889	50	7	7	0.1	Non-sig	auc_l	Acesulfame_K
20_Acesulfame_K_50	20_DMSO_control_0	0.2	0.0167970501036837	50	20	20	0.254545454545455	Non-sig	auc_l	Acesulfame_K
17_Acesulfame_K_50	17_DMSO_control_0	0.0571428571428571	0.0310242047879536	50	17	17	0.114285714285714	Non-sig	auc_l	Acesulfame_K
14_Acesulfame_K_50	14_DMSO_control_0	0.0285714285714286	0.093423018214408	50	14	14	0.1	Non-sig	auc_l	Acesulfame_K
4_Acesulfame_K_50	4_DMSO_control_0	0.685714285714286	-0.00954799426302315	50	4	4	0.685714285714286	Non-sig	auc_l	Acesulfame_K
10_Acesulfame_K_50	10_DMSO_control_0	0.342857142857143	-0.0187377664374311	50	10	10	0.4	Non-sig	auc_l	Acesulfame_K
0_Acesulfame_K_50	0_DMSO_control_0	0.685714285714286	0.00810986936713091	50	0	0	0.685714285714286	Non-sig	auc_l	Acesulfame_K
0_Duloxetine_25	0_DMSO_control_0	0.0285714285714286	0.112382419107579	25	0	0	0.1	Non-sig	auc_l	Duloxetine
10_Duloxetine_25	10_DMSO_control_0	0.685714285714286	-0.015692906143388	25	10	10	0.738461538461539	Non-sig	auc_l	Duloxetine
20_Duloxetine_25	20_DMSO_control_0	0.0285714285714286	0.0503177857129988	25	20	20	0.1	Non-sig	auc_l	Duloxetine
7_Duloxetine_25	7_DMSO_control_0	0.342857142857143	-0.00210417156382744	25	7	7	0.533333333333334	Non-sig	auc_l	Duloxetine
17_Duloxetine_25	17_DMSO_control_0	0.342857142857143	-0.012852304956784	25	17	17	0.533333333333334	Non-sig	auc_l	Duloxetine
4_Duloxetine_25	4_DMSO_control_0	0.0285714285714286	0.110076940140907	25	4	4	0.1	Non-sig	auc_l	Duloxetine
14_Duloxetine_25	14_DMSO_control_0	0.885714285714286	0.00808694527334386	25	14	14	0.885714285714286	Non-sig	auc_l	Duloxetine
