Pop_1 Pop_2 P_adj Antibiotic Sig
Plate4_D4 Plate4_B5 1.20452559912688e-09 Doxycycline Yes
Plate4_E4 Plate4_B5 2.34390008112881e-05 Doxycycline Yes
Plate4_F4 Plate4_B5 0.04096644990144 Doxycycline Yes
Plate4_G4 Plate4_B5 1 Doxycycline No
Plate4_H4 Plate4_B5 1.89936261073623e-06 Doxycycline Yes
Plate4_C5 Plate4_C4 1 Doxycycline No
Plate4_D4 Plate4_C5 6.64129084603313e-17 Doxycycline Yes
Plate4_E4 Plate4_C5 0.000935523250971992 Doxycycline Yes
Plate4_F4 Plate4_C5 0.0702116346133598 Doxycycline No
Plate4_G4 Plate4_C5 1 Doxycycline No
Plate4_H4 Plate4_C5 1.38437684216567e-05 Doxycycline Yes
