Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
0_Rosuvastatin_25	0_DMSO_control_0	0.114285714285714	0.0629721502302751	25	0	0	0.799999999999998	Non-sig	auc_l	Rosuvastatin
17_Rosuvastatin_25	17_DMSO_control_0	0.485714285714286	0.0320575016026605	25	17	17	1	Non-sig	auc_l	Rosuvastatin
4_Rosuvastatin_25	4_DMSO_control_0	0.685714285714286	0.0334239887262552	25	4	4	1	Non-sig	auc_l	Rosuvastatin
7_Rosuvastatin_25	7_DMSO_control_0	1	-0.000294716327176821	25	7	7	1	Non-sig	auc_l	Rosuvastatin
14_Rosuvastatin_25	14_DMSO_control_0	1	5.03056418800612e-05	25	14	14	1	Non-sig	auc_l	Rosuvastatin
10_Rosuvastatin_25	10_DMSO_control_0	1	0.00907034193591316	25	10	10	1	Non-sig	auc_l	Rosuvastatin
20_Rosuvastatin_25	20_DMSO_control_0	0.485714285714286	0.0285773584254748	25	20	20	1	Non-sig	auc_l	Rosuvastatin
0_Rosuvastatin_50	0_DMSO_control_0	0.885714285714286	-0.00610382785101614	50	0	0	1	Non-sig	auc_l	Rosuvastatin
17_Rosuvastatin_50	17_DMSO_control_0	0.885714285714286	0.024810730689858	50	17	17	1	Non-sig	auc_l	Rosuvastatin
10_Rosuvastatin_50	10_DMSO_control_0	0.0285714285714286	0.0289777321229664	50	10	10	0.4	Non-sig	auc_l	Rosuvastatin
4_Rosuvastatin_50	4_DMSO_control_0	0.885714285714286	0.00137212798971222	50	4	4	1	Non-sig	auc_l	Rosuvastatin
7_Rosuvastatin_50	7_DMSO_control_0	0.342857142857143	-0.0209171414881714	50	7	7	1	Non-sig	auc_l	Rosuvastatin
20_Rosuvastatin_50	20_DMSO_control_0	1	-0.000815403966516207	50	20	20	1	Non-sig	auc_l	Rosuvastatin
14_Rosuvastatin_50	14_DMSO_control_0	0.342857142857143	0.0569517825354606	50	14	14	1	Non-sig	auc_l	Rosuvastatin
14_Digoxin_25	14_DMSO_control_0	0.342857142857143	-0.0155518792248803	25	14	14	0.685714285714286	Non-sig	auc_l	Digoxin
17_Digoxin_25	17_DMSO_control_0	1	0.00154919975951559	25	17	17	1	Non-sig	auc_l	Digoxin
10_Digoxin_25	10_DMSO_control_0	0.114285714285714	-0.0215440145433972	25	10	10	0.399999999999999	Non-sig	auc_l	Digoxin
20_Digoxin_25	20_DMSO_control_0	0.0571428571428571	-0.0678120794764636	25	20	20	0.399999999999999	Non-sig	auc_l	Digoxin
0_Digoxin_25	0_DMSO_control_0	0.114285714285714	-0.0966811027263646	25	0	0	0.399999999999999	Non-sig	auc_l	Digoxin
7_Digoxin_25	7_DMSO_control_0	0.685714285714286	-0.0215074760170414	25	7	7	0.872727272727273	Non-sig	auc_l	Digoxin
4_Digoxin_25	4_DMSO_control_0	0.114285714285714	-0.0382301301197997	25	4	4	0.399999999999999	Non-sig	auc_l	Digoxin
10_Digoxin_50	10_DMSO_control_0	0.2	-0.0144108480096027	50	10	10	0.466666666666667	Non-sig	auc_l	Digoxin
20_Digoxin_50	20_DMSO_control_0	0.2	0.0240992659503181	50	20	20	0.466666666666667	Non-sig	auc_l	Digoxin
7_Digoxin_50	7_DMSO_control_0	0.485714285714286	0.0519719046231095	50	7	7	0.755555555555556	Non-sig	auc_l	Digoxin
4_Digoxin_50	4_DMSO_control_0	1	0.0147948619215379	50	4	4	1	Non-sig	auc_l	Digoxin
17_Digoxin_50	17_DMSO_control_0	0.485714285714286	0.0154495345567984	50	17	17	0.755555555555556	Non-sig	auc_l	Digoxin
0_Digoxin_50	0_DMSO_control_0	0.685714285714286	-0.0404036406850897	50	0	0	0.872727272727273	Non-sig	auc_l	Digoxin
14_Digoxin_50	14_DMSO_control_0	0.885714285714286	0.00188470579174794	50	14	14	1	Non-sig	auc_l	Digoxin
0_Metformin_25	0_DMSO_control_0	0.685714285714286	0.0262798568077864	25	0	0	0.872727272727273	Non-sig	auc_l	Metformin
7_Metformin_25	7_DMSO_control_0	0.342857142857143	-0.00334124616691525	25	7	7	0.533333333333334	Non-sig	auc_l	Metformin
4_Metformin_25	4_DMSO_control_0	0.0285714285714286	0.043459809845614	25	4	4	0.4	Non-sig	auc_l	Metformin
14_Metformin_25	14_DMSO_control_0	1	0.00184245432604007	25	14	14	1	Non-sig	auc_l	Metformin
10_Metformin_25	10_DMSO_control_0	0.885714285714286	0.00132228936601512	25	10	10	1	Non-sig	auc_l	Metformin
20_Metformin_25	20_DMSO_control_0	0.342857142857143	0.00741735804104919	25	20	20	0.533333333333334	Non-sig	auc_l	Metformin
17_Metformin_25	17_DMSO_control_0	0.0571428571428571	-0.0443754346889641	25	17	17	0.4	Non-sig	auc_l	Metformin
10_Metformin_50	10_DMSO_control_0	0.2	0.0295225122150115	50	10	10	0.533333333333334	Non-sig	auc_l	Metformin
14_Metformin_50	14_DMSO_control_0	0.685714285714286	0.0217385963115239	50	14	14	0.872727272727273	Non-sig	auc_l	Metformin
7_Metformin_50	7_DMSO_control_0	0.342857142857143	-0.00319176265110193	50	7	7	0.533333333333334	Non-sig	auc_l	Metformin
